Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
UNIVASTU,EQ,273.5,-0.98,328.08,0.71,1.95
DLINKINDIA,EQ,483.75,-0.72,1717.55,0.4,1.95
PRSMJOHNSN,EQ,149.4,0.16,7520.15,1.3,1.95
RPTECH,EQ,282.7,-0.07,1862.98,0.69,1.94
JTEKTINDIA,EQ,130.9,0.61,3629.99,1.47,1.94
AGROPHOS,BE,45.04,4.99,91.31,4.34,1.93
KALPATARU,EQ,386,-1.77,7948.28,0.5,1.93
GOLDSHARE,EQ,83.7,0.06,2096.59,2.29,1.92
STEELXIND,EQ,9.75,-0.61,1167.69,19.37,1.89
IMAGICAA,EQ,57.65,-0.41,3262.19,3.27,1.89
SASKEN,EQ,1443,-1,2185.11,0.13,1.89
BIRLANU,EQ,1908,-0.79,1438.8,0.1,1.87
EXCELINDUS,EQ,1291.1,-0.43,1623,0.14,1.87
ADSL,EQ,157,0.07,885.92,1.19,1.86
INDOAMIN,EQ,156.5,-0.88,1136,1.18,1.86
VILAS,ST,526,-0.5,1287.65,0.35,1.84
WONDERLA,EQ,640.2,0.35,4059.56,0.29,1.83
VGINFOTECH,SM,172.05,1.09,427.86,1.05,1.83
ATMASTCO,SM,250,-3.42,618.37,0.72,1.82
HATHWAY,EQ,14.82,-1.07,2623.29,12.17,1.81
PDSL,EQ,325.65,-0.96,4603.05,0.55,1.81
KRSNAA,EQ,810,0.07,2627.53,0.22,1.81
SIMPLEXINF,EQ,306,-1.54,2357.95,0.58,1.8
RUPA,EQ,200,0.25,1590.49,0.9,1.8
KCK,SM,42.05,3.32,267.45,4.35,1.8
NIKITA,SM,117,-7.14,288.61,1.46,1.79
BHARATWIRE,EQ,186.05,-2.5,1276.02,0.95,1.78
TBZ,EQ,191.01,-0.22,1274.62,0.93,1.78
MUKANDLTD,EQ,136.07,-0.98,1966.15,1.3,1.78
NSIL,EQ,6789,0.1,3486.94,0.03,1.77
MAITHANALL,EQ,1085,-0.68,3158.6,0.16,1.77
BLKASHYAP,EQ,72.65,-0.22,1637.82,2.42,1.76
BAJAJHCARE,EQ,446.8,0,1411.14,0.39,1.76
WSTCSTPAPR,EQ,484.8,-1.94,3202.05,0.36,1.76
INDUSINVIT,IV,115,2.44,5093.79,1.53,1.75
SRM,EQ,491.95,-0.15,1128.74,0.35,1.73
ORIENTELEC,EQ,214.5,1.38,4576.7,0.81,1.73
GODAVARIB,BE,258,-0.58,1320.34,0.65,1.72
DYNAMATECH,EQ,6516.5,-0.52,4425.64,0.03,1.71
MASFIN,EQ,315,0.86,5715.78,0.55,1.7
CONFIPET,EQ,49.8,-0.78,1654.56,3.43,1.7
DIAMONDYD,EQ,915,0.23,2184.42,0.19,1.7
ICRA,EQ,6255,-1.11,6036.84,0.03,1.7
BALAXI,EQ,46.99,-2,259.42,3.56,1.7
FILATFASH,EQ,0.56,0,466.71,314.4,1.7
EXXARO,BE,8,-2.44,357.93,21.2,1.7
SKMEGGPROD,BE,333.1,1.99,877.05,0.51,1.68
RAJRATAN,EQ,324.85,0.34,1649.3,0.51,1.68
DCAL,BE,266,-1.35,4170.43,0.63,1.68
DANISH,SM,914.15,-1.01,1800.11,0.18,1.67
OBCL,EQ,60.35,9.73,127.23,2.8,1.66
PENINLAND,EQ,36.87,-0.51,1194.59,4.45,1.66
MUFIN,EQ,87.11,-1.02,1434.62,1.88,1.66
NIFTY1,EQ,274.93,-0.31,3262.45,0.61,1.66
ARVSMART,EQ,624.5,-1.39,2863.3,0.27,1.66
TOP10ADD,EQ,95.65,-0.28,725.01,1.73,1.65
VADILALIND,EQ,4936.5,-1.77,3548.27,0.03,1.65
TECHLABS,SM,568.2,5,981.91,0.29,1.64
SIYSIL,EQ,617.7,-0.85,2802.51,0.27,1.64
TALBROAUTO,EQ,269.7,-1.69,1664.81,0.6,1.63
SILGO,EQ,75.6,5,176.6,2.17,1.63
INDNIPPON,EQ,803,2.54,1816.5,0.21,1.63
ARTEMISMED,EQ,239,-0.26,3319.7,0.68,1.63
BCLIND,EQ,41.9,1.43,1236.73,3.89,1.62
GOCOLORS,EQ,691.55,-1.38,3734.99,0.23,1.61
DMCC,EQ,333,-0.37,830.5,0.48,1.61
DBCORP,EQ,265.5,-0.91,4732.25,0.6,1.6
MODISONLTD,EQ,161.1,0.96,522.77,0.98,1.6
CEIGALL,EQ,252,-0.19,4389.96,0.63,1.59
AUTOAXLES,EQ,1766.2,1.93,2669.08,0.09,1.58
SAHANA,SM,1215,0.36,1073.71,0.13,1.58
WINDMACHIN,EQ,320.35,-2.38,2706.26,0.49,1.57
SAPPHIRE,EQ,326.25,-0.67,10485.12,0.48,1.57
LIQGRWBEES,EQ,1004.9,0.04,22,0.16,1.57
TRACXN,EQ,51.5,-0.64,546.64,3.01,1.55
LINCOLN,EQ,557.8,1.74,1117.26,0.28,1.55
OBSCP,ST,321.8,-4.99,786.88,0.48,1.55
BAJAJELEC,EQ,583,-1.88,6724.74,0.26,1.55
PATILAUTOM,SM,219.55,-0.52,479.08,0.7,1.54
ATALREAL,BE,18.62,-1.01,206.71,8.14,1.54
TIIL,EQ,2751,-1.89,6237.29,0.06,1.54
NUCLEUS,EQ,1043.3,-1,2746.52,0.15,1.54
JITFINFRA,EQ,292,0.64,750.55,0.52,1.54
MAHLIFE,EQ,347,-0.24,7400.4,0.44,1.53
SUNCLAY,EQ,1667,-1.13,3675.1,0.09,1.53
EBBETF0433,EQ,1247.89,-0.02,6332.24,0.12,1.53
GSMFOILS,ST,226.4,-4.05,290.06,0.66,1.53
BHARATSE,BE,137.47,5,863.31,1.12,1.52
SUYOG,EQ,870,1.05,973.5,0.17,1.52
BOROSCI,EQ,141.5,0.3,1258.6,1.09,1.52
SOLEX,ST,1401.4,-2,1513.86,0.11,1.52
MCLEODRUSS,EQ,37.04,0.08,386.9,4.03,1.51
RATNAVEER,EQ,147.68,-1.73,783.43,1.01,1.5
GOPAL,EQ,362,-1.28,4511.33,0.41,1.5
SADBHIN,EQ,4.67,-2.51,164.49,31.79,1.5
SAGCEM,EQ,239.42,-2,3129.4,0.62,1.49
CLSEL,EQ,282.05,-0.95,1402.51,0.53,1.48
SHOPERSTOP,EQ,545,0.31,6001.11,0.27,1.48
NEXT50,EQ,692.97,-0.62,784.19,0.21,1.48
HEALTHIETF,EQ,151.15,0.49,146.18,0.98,1.48
TNPETRO,BE,111,-1.93,998.68,1.32,1.47
BSLGOLDETF,EQ,87.7,-0.03,1218.88,1.66,1.46
LEMERITE,SM,353.55,1.38,859.08,0.41,1.46
AIROLAM,EQ,112,3.46,168.02,1.21,1.45
CENTRUM,BE,39.5,1.99,1643.33,3.68,1.45
GUFICBIO,EQ,362.1,-2,3631.05,0.4,1.44
DCMSRIND,EQ,161.5,-1.49,1404.92,0.88,1.44
JINDWORLD,EQ,35.9,-1.75,3599.34,3.96,1.43
